Trait,Metric,Method,Annotation,Score,Score SE
Waist-hip Ratio,tau,S-LDSC,base,-1.4689058219006078e-08,1.2492030314672548e-08
Waist-hip Ratio,tau,S-LDSC,Coding_UCSC,-9.496969333515136e-08,7.548397723394139e-08
Waist-hip Ratio,tau,S-LDSC,Coding_UCSC.flanking.500,-4.6913291640628066e-08,2.1239570932091915e-08
Waist-hip Ratio,tau,S-LDSC,Conserved_LindbladToh,1.9092529713141157e-07,1.0194697078135186e-07
Waist-hip Ratio,tau,S-LDSC,Conserved_LindbladToh.flanking.500,-6.746506667420534e-09,1.2019105779259759e-08
Waist-hip Ratio,tau,S-LDSC,CTCF_Hoffman,-2.4796801026262667e-08,3.810730358708895e-08
Waist-hip Ratio,tau,S-LDSC,CTCF_Hoffman.flanking.500,-4.93263398509285e-08,2.3208964839703675e-08
Waist-hip Ratio,tau,S-LDSC,DGF_ENCODE,4.7180200695330485e-08,2.5271506837869805e-08
Waist-hip Ratio,tau,S-LDSC,DGF_ENCODE.flanking.500,-8.075625400481565e-10,1.0452071061457105e-08
Waist-hip Ratio,tau,S-LDSC,DHS_peaks_Trynka,6.796454506331727e-08,3.654192130052978e-08
Waist-hip Ratio,tau,S-LDSC,DHS_Trynka,-3.155598468739498e-08,3.477460589001734e-08
Waist-hip Ratio,tau,S-LDSC,DHS_Trynka.flanking.500,-1.2219803830709519e-09,1.7629460882106566e-08
Waist-hip Ratio,tau,S-LDSC,Enhancer_Andersson,7.120633596032238e-08,9.314872774554201e-08
Waist-hip Ratio,tau,S-LDSC,Enhancer_Andersson.flanking.500,2.4106910147113447e-09,4.7815772591283965e-08
Waist-hip Ratio,tau,S-LDSC,Enhancer_Hoffman,-3.520144844949508e-08,3.299799321196992e-08
Waist-hip Ratio,tau,S-LDSC,Enhancer_Hoffman.flanking.500,-2.328183837763036e-08,2.6916670327962885e-08
Waist-hip Ratio,tau,S-LDSC,FetalDHS_Trynka,-2.2217395486998718e-08,3.675230975613156e-08
Waist-hip Ratio,tau,S-LDSC,FetalDHS_Trynka.flanking.500,6.966490128786009e-09,1.6137831597500285e-08
Waist-hip Ratio,tau,S-LDSC,H3K27ac_Hnisz,1.063558946499154e-08,5.854447355888554e-09
Waist-hip Ratio,tau,S-LDSC,H3K27ac_Hnisz.flanking.500,1.8190372859780994e-08,2.9796307618869032e-08
Waist-hip Ratio,tau,S-LDSC,H3K27ac_PGC2,-2.578000048100604e-09,1.1096313057375146e-08
Waist-hip Ratio,tau,S-LDSC,H3K27ac_PGC2.flanking.500,4.3359992822179e-08,1.856757592728822e-08
Waist-hip Ratio,tau,S-LDSC,H3K4me1_peaks_Trynka,-2.2575054316526004e-08,2.2342747559563027e-08
Waist-hip Ratio,tau,S-LDSC,H3K4me1_Trynka,5.1358313536050356e-09,1.122887885416727e-08
Waist-hip Ratio,tau,S-LDSC,H3K4me1_Trynka.flanking.500,3.493365685359034e-09,1.219508738823098e-08
Waist-hip Ratio,tau,S-LDSC,H3K4me3_peaks_Trynka,-1.2082460520970107e-08,4.005390487365364e-08
