Trait,Metric,Method,Score,Score SE
Waist-hip Ratio,hg2,LDSC,0.14423053458883053,0.008748314653798104
Waist-hip Ratio,hg2,S-LDSC,0.17313362019586223,0.0077610790559450235
Waist-hip Ratio,hg2,LD2MAF,0.14565519807190708,0.008634692573861772
Waist-hip Ratio,hg2,S-LD2MAF,0.17143937414280644,0.007572528573287515
Waist-hip Ratio,hg2,LD2,0.16281628823829628,0.008210717446650168
Waist-hip Ratio,hg2,S-LD2,0.1683393359574031,0.007145577846642583
Waist-hip Ratio,Intercept,LDSC,1.1728111313950957,0.027484664190996124
Waist-hip Ratio,Intercept,S-LDSC,1.0837883487929352,0.0189493772626541
Waist-hip Ratio,Intercept,LD2MAF,1.1659381601973975,0.0258627999893082
Waist-hip Ratio,Intercept,S-LD2MAF,1.0920297687030087,0.018571123332373655
Waist-hip Ratio,Intercept,LD2,1.1811770374296826,0.02077651660955626
Waist-hip Ratio,Intercept,S-LD2,1.100203043548073,0.01769522549907135
Waist-hip Ratio,Ratio,LDSC,0.1455461633532314,0.023148320318010236
Waist-hip Ratio,Ratio,S-LDSC,0.07056879150124098,0.01595967306183919
Waist-hip Ratio,Ratio,LD2MAF,0.1396255609091828,0.021761769269307587
Waist-hip Ratio,Ratio,S-LD2MAF,0.07743672739419391,0.01562632434222295
Waist-hip Ratio,Ratio,LD2,0.16157768584298307,0.018528956656294313
Waist-hip Ratio,Ratio,S-LD2,0.08936328864084159,0.015780993149970078
Waist-hip Ratio,LRT,LDSC,10182.996938447206,0.0
Waist-hip Ratio,LRT,S-LDSC,5648.36799421921,0.0
Waist-hip Ratio,LRT,LD2MAF,9905.038088478177,0.0
Waist-hip Ratio,LRT,S-LD2MAF,6145.994521058514,0.0
Waist-hip Ratio,LRT,LD2,31021.025643561035,0.0
Waist-hip Ratio,LRT,S-LD2,19480.01181184943,0.0
White Blood Cell Count,hg2,LDSC,0.19502587803143162,0.00984655089996641
White Blood Cell Count,hg2,S-LDSC,0.23166532639255988,0.009019344572354277
White Blood Cell Count,hg2,LD2MAF,0.19823943294150892,0.009889078022013881
White Blood Cell Count,hg2,S-LD2MAF,0.23023795852491064,0.008842324878338394
White Blood Cell Count,hg2,LD2,0.22281364933743616,0.011256658288939608
White Blood Cell Count,hg2,S-LD2,0.22131627899681033,0.010001507452410383
White Blood Cell Count,Intercept,LDSC,1.2190564162815563,0.02659250548351522
White Blood Cell Count,Intercept,S-LDSC,1.0996551192018242,0.022876573600286054
White Blood Cell Count,Intercept,LD2MAF,1.2079057964410203,0.025744737561207844
White Blood Cell Count,Intercept,S-LD2MAF,1.1135999414703652,0.021161748399394997
White Blood Cell Count,Intercept,LD2,1.2483453831962277,0.023838636174143567
White Blood Cell Count,Intercept,S-LD2,1.1816450123908815,0.02506049270858692
White Blood Cell Count,Ratio,LDSC,0.17297228038389842,0.020998089865091225
White Blood Cell Count,Ratio,S-LDSC,0.07869010875313996,0.018063899566062306
White Blood Cell Count,Ratio,LD2MAF,0.16456006114894695,0.020377284615716817
White Blood Cell Count,Ratio,S-LD2MAF,0.08991578702897449,0.016749790867956728
White Blood Cell Count,Ratio,LD2,0.2120448885706119,0.020354157126519164
White Blood Cell Count,Ratio,S-LD2,0.15509407066930708,0.02139741562949926
White Blood Cell Count,LRT,LDSC,13126.449384518492,0.0
White Blood Cell Count,LRT,S-LDSC,7050.90103915683,0.0
White Blood Cell Count,LRT,LD2MAF,12673.31337576537,0.0
White Blood Cell Count,LRT,S-LD2MAF,7900.5389359675755,0.0
White Blood Cell Count,LRT,LD2,42422.123607217334,0.0
White Blood Cell Count,LRT,S-LD2,34085.91561590484,0.0
Heel T Score,hg2,LDSC,0.3323080551657286,0.02195996708677502
Heel T Score,hg2,S-LDSC,0.3626157559821692,0.021276294801741324
Heel T Score,hg2,LD2MAF,0.3400334264936287,0.021633523152046207
Heel T Score,hg2,S-LD2MAF,0.36596638634374373,0.02088935190863523
Heel T Score,hg2,LD2,0.39140767885397676,0.022752525064542967
Heel T Score,hg2,S-LD2,0.37667394495988354,0.021701725558951616
Heel T Score,Intercept,LDSC,1.3407994047893854,0.05501305587598852
Heel T Score,Intercept,S-LDSC,1.2542338272697156,0.053515065072455
Heel T Score,Intercept,LD2MAF,1.3149129401823896,0.04984002626085782
Heel T Score,Intercept,S-LD2MAF,1.2453126418049458,0.04951074846749242
Heel T Score,Intercept,LD2,1.3699434745840475,0.03697691270131928
Heel T Score,Intercept,S-LD2,1.2792119992350282,0.033900986157331794
Heel T Score,Ratio,LDSC,0.16031251359149165,0.025878217930806625
Heel T Score,Ratio,S-LDSC,0.11959194563376958,0.02517356097520012
Heel T Score,Ratio,LD2MAF,0.14842177874402912,0.02349012824306707
Heel T Score,Ratio,S-LD2MAF,0.11561842655306365,0.02333493615802955
Heel T Score,Ratio,LD2,0.1899166802844436,0.018982717603812704
Heel T Score,Ratio,S-LD2,0.1433381574034277,0.017403639181927503
Heel T Score,LRT,LDSC,30806.526687576785,0.0
Heel T Score,LRT,S-LDSC,25204.744053394592,0.0
Heel T Score,LRT,LD2MAF,29306.22781283484,0.0
Heel T Score,LRT,S-LD2MAF,24616.358714972623,0.0
Heel T Score,LRT,LD2,96069.89670286479,0.0
Heel T Score,LRT,S-LD2,80001.92649551586,0.0
Tanning,hg2,LDSC,0.07448617185276428,0.018794162055445703
Tanning,hg2,S-LDSC,0.07890822568351824,0.0168212556070084
Tanning,hg2,LD2MAF,0.07442171778718117,0.016889629859534648
Tanning,hg2,S-LD2MAF,0.07725990137780572,0.014609930805115547
Tanning,hg2,LD2,0.06610240636406033,0.01830732883474743
Tanning,hg2,S-LD2,0.05753338530694024,0.022062677166489877
Tanning,Intercept,LDSC,1.1483376489291564,0.08067334495428612
Tanning,Intercept,S-LDSC,1.1276195593437037,0.05713717825846196
Tanning,Intercept,LD2MAF,1.1476334796756569,0.07436403726841813
Tanning,Intercept,S-LD2MAF,1.130169651328403,0.05513681823338205
Tanning,Intercept,LD2,1.2354406586210773,0.08649480128800399
Tanning,Intercept,S-LD2,1.2313236244880605,0.08281378633326758
Tanning,Ratio,LDSC,0.28088494759882265,0.15275911701235345
Tanning,Ratio,S-LDSC,0.24165418218243923,0.10819217802715347
Tanning,Ratio,LD2MAF,0.282005027523694,0.14204794483423094
Tanning,Ratio,S-LD2MAF,0.24864614846349622,0.10532068997922328
Tanning,Ratio,LD2,0.47652819476054364,0.17506411915148543
Tanning,Ratio,S-LD2,0.46819538234545643,0.16761380270427315
Tanning,LRT,LDSC,3833.2158884929086,0.0
Tanning,LRT,S-LDSC,3449.6468113142473,0.0
Tanning,LRT,LD2MAF,3831.4414423597336,0.0
Tanning,LRT,S-LD2MAF,3510.1145839350647,0.0
Tanning,LRT,LD2,16160.67227847455,0.0
Tanning,LRT,S-LD2,16026.33010201645,0.0
Sunburn Occasion,hg2,LDSC,0.05952686720928745,0.009735556054309289
Sunburn Occasion,hg2,S-LDSC,0.06696431189062799,0.010153836547250881
Sunburn Occasion,hg2,LD2MAF,0.05715081572297942,0.00881561688359191
Sunburn Occasion,hg2,S-LD2MAF,0.06251939901172891,0.0091542902777736
Sunburn Occasion,hg2,LD2,0.057339974253595105,0.013182028525611759
Sunburn Occasion,hg2,S-LD2,0.049627375229690546,0.014436496273679078
Sunburn Occasion,Intercept,LDSC,1.1129216389943177,0.0423352082726244
Sunburn Occasion,Intercept,S-LDSC,1.10511590593022,0.03434800580597688
Sunburn Occasion,Intercept,LD2MAF,1.119033579785449,0.04073140428432657
Sunburn Occasion,Intercept,S-LD2MAF,1.1186002082406097,0.03400340730383031
Sunburn Occasion,Intercept,LD2,1.1423139324786138,0.04376628743839832
Sunburn Occasion,Intercept,S-LD2,1.1437229343521815,0.044854431145662704
Sunburn Occasion,Ratio,LDSC,0.3101584072089523,0.11628081989987044
Sunburn Occasion,Ratio,S-LDSC,0.288718639279436,0.09434261552050018
Sunburn Occasion,Ratio,LD2MAF,0.33156602090147813,0.11345663693073688
Sunburn Occasion,Ratio,S-LD2MAF,0.3303588718015916,0.09471591526647082
Sunburn Occasion,Ratio,LD2,0.43407233971734943,0.13349174222265608
Sunburn Occasion,Ratio,S-LD2,0.4383699424135407,0.13681069404089738
Sunburn Occasion,LRT,LDSC,1938.9414522555307,0.0
Sunburn Occasion,LRT,S-LDSC,1847.070504568197,0.0
Sunburn Occasion,LRT,LD2MAF,2016.2300473732175,0.0
Sunburn Occasion,LRT,S-LD2MAF,2011.522256971628,0.0
Sunburn Occasion,LRT,LD2,6704.014340535039,0.0
Sunburn Occasion,LRT,S-LD2,6739.138104772661,0.0
Red Blood Cell Count,hg2,LDSC,0.22617913532530676,0.015764232376361383
Red Blood Cell Count,hg2,S-LDSC,0.26101259346752925,0.012953586232843161
Red Blood Cell Count,hg2,LD2MAF,0.2307774215012976,0.015277388943465142
Red Blood Cell Count,hg2,S-LD2MAF,0.2613496447519672,0.012909412731519097
Red Blood Cell Count,hg2,LD2,0.2711946281952026,0.01576406877546152
Red Blood Cell Count,hg2,S-LD2,0.2675063251799846,0.014020010297507834
Red Blood Cell Count,Intercept,LDSC,1.31368327271634,0.058944412294204045
Red Blood Cell Count,Intercept,S-LDSC,1.1677462923070918,0.034479072547097776
Red Blood Cell Count,Intercept,LD2MAF,1.3003369939086136,0.05740679121524152
Red Blood Cell Count,Intercept,S-LD2MAF,1.1805042127022853,0.03305920339600406
Red Blood Cell Count,Intercept,LD2,1.29720197344407,0.039472409080477756
Red Blood Cell Count,Intercept,S-LD2,1.1694721505389754,0.027679750744682215
Red Blood Cell Count,Ratio,LDSC,0.20201540480192995,0.03796083612400162
Red Blood Cell Count,Ratio,S-LDSC,0.10803041823363001,0.022204893928455375
Red Blood Cell Count,Ratio,LD2MAF,0.1926871457490944,0.03683046367989179
Red Blood Cell Count,Ratio,S-LD2MAF,0.11580605202392713,0.021209786580780245
Red Blood Cell Count,Ratio,LD2,0.2078248550048508,0.027601928744885065
Red Blood Cell Count,Ratio,S-LD2,0.11850703649432828,0.019355659447418013
Red Blood Cell Count,LRT,LDSC,21441.091755492555,0.0
Red Blood Cell Count,LRT,S-LDSC,13706.119240871514,0.0
Red Blood Cell Count,LRT,LD2MAF,20984.975411740073,0.0
Red Blood Cell Count,LRT,S-LD2MAF,14610.79521090613,0.0
Red Blood Cell Count,LRT,LD2,60847.84571978508,0.0
Red Blood Cell Count,LRT,S-LD2,40844.451707274304,0.0
Eosinophil Count,hg2,LDSC,0.185650614834049,0.0138505488224213
Eosinophil Count,hg2,S-LDSC,0.23538838500819934,0.013748176333444244
Eosinophil Count,hg2,LD2MAF,0.18803700447242683,0.014232522671769506
Eosinophil Count,hg2,S-LD2MAF,0.2328437572949651,0.013971542698982858
Eosinophil Count,hg2,LD2,0.21478839353919676,0.013431865549889462
Eosinophil Count,hg2,S-LD2,0.22251323254317673,0.013327196686849622
Eosinophil Count,Intercept,LDSC,1.2587378541930079,0.04448705467331184
